12.7184 	9.05676 	A 	16.88 	14.722 	B 	17.3621 	15.2589 	C 	
16.1248 	9.05544 	A 	16.7606 	13.5499 	B 	19.6147 	12.7504 	C 	
17.4333 	7.0995 	A 	13.7971 	18.9937 	B 	19.8481 	14.7947 	C 	
16.4101 	10.9113 	A 	18.7171 	16.9964 	B 	20.2939 	9.37289 	C 	
13.3554 	10.9354 	A 	11.3704 	23.4718 	B 	21.8303 	12.1756 	C 	
14.3973 	10.3802 	A 	13.3882 	17.9791 	B 	24.7199 	12.3765 	C 	
13.7828 	9.95567 	A 	14.7403 	18.8791 	B 	20.4533 	11.9069 	C 	
15.7428 	13.4977 	A 	12.9206 	17.5825 	B 	18.2174 	16.7532 	C 	
16.853 	11.6305 	A 	22.6223 	17.9682 	B 	15.9528 	11.307 	C 	
14.7357 	10.8443 	A 	19.2323 	21.9925 	B 	19.9287 	8.39178 	C 	
13.5551 	8.8938 	A 	20.72 	19.1964 	B 	19.362 	7.26208 	C 	
13.1044 	11.142 	A 	15.7198 	16.1903 	B 	21.1995 	13.5574 	C 	
13.0534 	11.1717 	A 	12.6737 	13.4608 	B 	20.4106 	11.2866 	C 	
14.158 	5.64803 	A 	19.4972 	14.0298 	B 	24.1832 	12.2766 	C 	
15.8234 	11.1118 	A 	14.9087 	18.7943 	B 	20.6309 	9.49003 	C 	
15.9933 	11.0909 	A 	15.2803 	11.5996 	B 	21.0528 	10.3373 	C 	
14.8958 	10.3778 	A 	19.8575 	16.1648 	B 	20.0458 	18.1896 	C 	
12.0068 	9.25415 	A 	17.52 	15.7791 	B 	20.3472 	12.419 	C 	
18.78 	12.524 	A 	18.8612 	16.6756 	B 	18.7009 	12.5868 	C 	
13.6505 	11.4448 	A 	12.1897 	19.4825 	B 	19.2968 	9.47111 	C 	
14.8883 	9.81499 	A 	17.6072 	20.2546 	B 	19.2563 	9.01609 	C 	
15.3783 	7.25743 	A 	13.0877 	22.1518 	B 	19.4991 	12.901 	C 	
17.3586 	10.3666 	A 	16.2677 	14.4488 	B 	20.2613 	8.7285 	C 	
14.3002 	8.13964 	A 	18.3911 	17.8307 	B 	21.6531 	14.5925 	C 	
17.8682 	8.11964 	A 	14.1025 	21.382 	B 	16.0766 	8.22103 	C 	
16.1355 	12.2294 	A 	17.3044 	17.8244 	B 	20.7039 	8.35725 	C 	
13.8643 	11.2931 	A 	21.3939 	15.5231 	B 	17.134 	9.47911 	C 	
16.573 	9.50606 	A 	15.173 	18.0413 	B 	20.1395 	13.1404 	C 	
17.5666 	12.0843 	A 	19.8483 	20.5558 	B 	20.1041 	14.8215 	C 	
12.597 	8.10082 	A 	19.8303 	16.0387 	B 	20.056 	10.9045 	C 	
16.1093 	9.91601 	A 	12.9434 	18.189 	B 	20.0542 	13.1746 	C 	
16.2297 	10.6911 	A 	17.1173 	15.8858 	B 	18.0476 	13.6067 	C 	
12.5325 	10.5215 	A 	15.9436 	21.452 	B 	20.2635 	13.9427 	C 	
15.9371 	13.116 	A 	17.8821 	19.1447 	B 	21.7718 	14.9392 	C 	
14.0127 	7.98981 	A 	23.7144 	14.4493 	B 	21.3147 	8.83906 	C 	
17.2341 	7.72284 	A 	16.7066 	11.468 	B 	20.0965 	11.7912 	C 	
16.0945 	9.93669 	A 	22.4485 	16.6746 	B 	21.804 	8.10884 	C 	
15.6081 	10.8129 	A 	17.0314 	16.8929 	B 	19.4384 	10.2452 	C 	
14.6794 	8.29599 	A 	15.9505 	11.6063 	B 	22.9753 	11.3977 	C 	
16.7759 	8.95199 	A 	20.3399 	17.1168 	B 	16.5493 	11.1346 	C 	
17.7575 	11.0445 	A 	18.5155 	19.1103 	B 	19.9946 	11.2926 	C 	
17.5275 	8.84469 	A 	24.4448 	13.7801 	B 	18.9435 	13.0909 	C 	
18.4851 	7.76392 	A 	11.3305 	12.594 	B 	23.2861 	8.89581 	C 	
16.4552 	11.3863 	A 	16.8776 	18.4005 	B 	16.4205 	9.96858 	C 	
16.4977 	9.0042 	A 	23.3841 	16.1538 	B 	21.0615 	13.2578 	C 	
12.8454 	9.76849 	A 	15.1372 	17.2708 	B 	22.1633 	13.3634 	C 	
14.181 	6.81068 	A 	18.5063 	14.9224 	B 	19.0299 	10.7931 	C 	
14.3805 	9.71346 	A 	19.2225 	17.0283 	B 	23.8121 	14.7976 	C 	
12.6303 	8.29333 	A 	17.1603 	18.8894 	B 	19.3112 	14.1732 	C 	
14.5204 	13.9938 	A 	16.4135 	14.2751 	B 	17.4592 	11.9452 	C 	
15.0222 	8.01754 	A 	16.1049 	18.2394 	B 	17.65 	15.6002 	C 	
16.6803 	10.8779 	A 	16.3337 	19.2258 	B 	19.7626 	12.9882 	C 	
16.0335 	9.42326 	A 	20.3423 	14.6503 	B 	21.0538 	13.9035 	C 	
12.2967 	11.5005 	A 	16.721 	20.6146 	B 	23.9376 	13.1801 	C 	
11.7612 	7.72036 	A 	15.4162 	13.5607 	B 	22.7355 	12.1163 	C 	
15.5749 	11.8934 	A 	11.8449 	16.3966 	B 	18.0554 	14.3171 	C 	
11.9437 	9.11589 	A 	20.9489 	20.5039 	B 	19.3533 	11.2842 	C 	
15.5723 	10.6222 	A 	20.0143 	10.3766 	B 	20.5738 	6.47049 	C 	
17.2224 	6.88968 	A 	21.8569 	13.6082 	B 	22.3354 	12.1275 	C 	
17.0722 	10.8337 	A 	21.4851 	21.1458 	B 	19.6302 	10.1273 	C 	
12.9139 	11.61 	A 	15.9371 	17.707 	B 	18.9241 	14.9803 	C 	
16.0378 	11.5635 	A 	23.3965 	20.5816 	B 	22.668 	8.61851 	C 	
15.091 	10.2856 	A 	17.9926 	16.352 	B 	25.4364 	7.7274 	C 	
15.7238 	10.5355 	A 	16.1822 	21.0382 	B 	18.8233 	14.7189 	C 	
19.6365 	11.7977 	A 	22.8903 	19.0751 	B 	22.2058 	9.88621 	C 	
15.365 	11.6986 	A 	18.827 	17.7655 	B 	19.2847 	12.7809 	C 	
14.5715 	9.92171 	A 	22.8842 	13.1314 	B 	12.3702 	12.2325 	C 	
14.9873 	8.84055 	A 	18.8348 	21.2554 	B 	19.9062 	13.014 	C 	
15.8582 	12.3035 	A 	22.4753 	18.3584 	B 	14.1596 	13.9921 	C 	
12.2564 	12.6168 	A 	18.0762 	16.1911 	B 	27.7384 	14.5817 	C 	
14.5022 	11.4297 	A 	15.703 	12.733 	B 	23.7347 	11.9531 	C 	
13.1003 	9.45122 	A 	18.4818 	16.6807 	B 	23.316 	4.83232 	C 	
16.4589 	7.88224 	A 	17.7616 	22.4796 	B 	23.109 	12.8814 	C 	
16.8512 	5.0448 	A 	15.7584 	13.5928 	B 	15.6761 	8.76102 	C 	
17.2214 	12.3172 	A 	18.5012 	20.6685 	B 	20.1269 	16.0087 	C 	
14.1423 	12.3404 	A 	21.2903 	18.5313 	B 	21.2094 	9.13897 	C 	
13.9637 	10.6482 	A 	15.13 	8.73114 	B 	21.3036 	8.3671 	C 	
16.4493 	8.77397 	A 	19.942 	15.3748 	B 	19.3987 	11.6737 	C 	
12.48 	10.63 	A 	15.7027 	18.6189 	B 	21.4251 	10.7036 	C 	
11.8207 	10.8665 	A 	12.9249 	16.2921 	B 	20.2439 	12.7505 	C 	
13.8467 	8.71256 	A 	17.6022 	16.8994 	B 	20.0938 	10.1763 	C 	
15.938 	8.96667 	A 	18.6886 	14.7191 	B 	23.1769 	10.4254 	C 	
13.7772 	7.78866 	A 	21.6587 	11.5152 	B 	19.1182 	10.9003 	C 	
14.6403 	11.6406 	A 	18.3074 	21.4134 	B 	20.8507 	11.7823 	C 	
